pickup_date,vendor_id,passenger_count,trip_distance,payment_type,fare_amount
2015-02-25,2,4,0.949999988079071,2,5.5
2015-02-25,2,1,1.28000009059906,2,8.5
2015-02-25,2,5,4.699999809265137,1,16.5
2015-02-25,2,2,5.440000057220459,1,19.5
2015-02-25,2,1,1.5299999713897705,2,8.0
2015-02-25,2,6,9.3100004196167,1,26.5
2015-02-25,2,2,1.909999966621399,1,8.5
2015-02-25,2,1,1.5199999809265137,1,7.5
2015-02-25,2,2,2.9200000762939453,1,12.0
2015-02-25,2,1,2.200000047683716,2,9.5
2015-02-25,2,1,1.1800000667572021,1,5.5
2015-02-25,2,1,1.159999966621399,2,6.0
2015-02-25,2,2,0.8199999928474426,1,5.0
2015-02-25,2,1,1.3799999952316284,2,7.0
2015-02-25,2,1,3.9100000858306885,1,13.0
2015-02-25,2,4,5.03000020980835,1,17.0
2015-02-25,2,1,2.509999990463257,1,8.5
2015-02-25,2,1,1.3700000047683716,1,7.5
2015-02-25,2,3,7.340000152587891,2,21.0
2015-02-25,2,1,0.7799999713897705,1,5.0
2015-02-25,2,1,1.409999966621399,1,7.0
2015-02-25,2,1,0.8199999928474426,2,5.0
2015-02-25,2,1,4.079999923706055,1,13.5
2015-02-25,2,3,0.4099999964237213,1,3.5
2015-02-25,2,2,1.0199999809265137,1,5.0
2015-02-25,2,2,0.8199999928474426,2,6.5
2015-02-25,2,5,6.460000038146973,2,23.5
2015-02-25,2,1,12.969999313354492,2,38.5
2015-02-25,2,1,0.3500000238418579,2,3.5
2015-02-25,2,1,2.549999952316284,1,10.5
2015-02-25,2,2,1.5299999713897705,1,7.5
2015-02-25,2,2,1.3399999141693115,2,7.5
2015-02-25,2,1,2.109999895095825,1,8.5
2015-02-25,2,5,3.9000000953674316,1,13.0
2015-02-25,2,1,0.6899999976158142,2,4.5
2015-02-25,2,2,0.4399999976158142,2,4.0
2015-02-25,2,5,0.8700000047683716,1,5.5
2015-02-25,2,3,0.6100000143051147,1,4.5
2015-02-25,2,5,2.3899998664855957,1,10.5
2015-02-25,2,1,1.409999966621399,1,9.0
2015-02-25,2,1,2.2300000190734863,1,9.5
2015-02-25,2,1,1.0199999809265137,1,5.5
2015-02-25,2,3,1.8299999237060547,1,8.5
2015-02-25,2,1,4.53000020980835,1,15.0
2015-02-25,2,1,3.619999885559082,2,12.5
2015-02-25,2,5,3.509999990463257,1,12.0
2015-02-25,2,1,1.5,1,8.5
2015-02-25,2,5,11.199999809265137,1,31.0
2015-02-25,2,1,2.9000000953674316,2,11.0
2015-02-25,2,1,2.1499998569488525,1,8.5
2015-02-25,2,1,1.059999942779541,2,6.0
2015-02-25,2,1,1.7200000286102295,1,7.5
2015-02-25,2,1,3.609999895095825,1,13.0
2015-02-25,2,5,2.009999990463257,1,8.5
2015-02-25,2,1,0.7699999809265137,1,5.0
2015-02-25,2,1,0.9699999690055847,1,6.0
2015-02-25,2,1,3.7200000286102295,2,14.0
2015-02-25,2,5,2.2300000190734863,1,11.0
2015-02-25,2,5,1.5399999618530273,1,7.0
2015-02-25,2,2,12.210000038146973,1,35.5
2015-02-25,2,1,0.5299999713897705,2,3.5
2015-02-25,2,2,0.7899999618530273,1,5.0
2015-02-25,2,1,3.1399998664855957,1,12.0
2015-02-25,2,1,12.210000038146973,1,33.0
2015-02-25,2,1,8.630000114440918,1,27.0
2015-02-25,2,5,1.1700000762939453,1,6.5
2015-02-25,2,2,6.5,1,22.5
2015-02-25,2,1,2.669999837875366,1,12.0
2015-02-25,2,2,5.910000324249268,1,19.5
2015-02-25,2,1,4.300000190734863,1,15.5
2015-02-25,2,5,17.959999084472656,1,52.0
2015-02-25,2,1,1.899999976158142,1,8.5
2015-02-25,2,4,2.549999952316284,1,11.0
2015-02-25,2,6,13.369999885559082,1,41.5
2015-02-25,2,5,4.550000190734863,1,16.5
2015-02-25,2,1,5.269999980926514,2,19.5
2015-02-25,2,1,4.25,1,15.0
2015-02-25,2,2,7.199999809265137,1,24.0
2015-02-25,2,5,2.2200000286102295,1,9.0
2015-02-25,2,1,7.990000247955322,1,24.5
2015-02-25,2,3,12.469999313354492,1,36.0
2015-02-25,2,5,0.46000000834465027,2,3.5
2015-02-25,2,1,12.880000114440918,2,37.0
2015-02-25,2,1,6.119999885559082,1,24.0
2015-02-25,2,6,2.319999933242798,1,8.0
2015-02-25,2,2,3.4700000286102295,1,12.0
2015-02-25,2,1,3.25,1,12.5
2015-02-25,2,1,1.5499999523162842,2,8.0
2015-02-25,2,2,10.800000190734863,2,32.0
2015-02-25,2,1,1.7999999523162842,1,9.0
2015-02-25,2,3,0.6899999976158142,1,4.5
2015-02-25,2,5,1.6200000047683716,1,8.0
2015-02-25,2,3,1.6200000047683716,2,7.0
2015-02-25,2,5,0.8700000047683716,2,5.5
2015-02-25,2,1,0.699999988079071,1,5.5
2015-02-25,2,1,1.4900000095367432,1,7.5
2015-02-25,2,1,0.5699999928474426,1,6.0
2015-02-25,2,1,2.1399998664855957,1,9.0
2015-02-25,2,2,1.4900000095367432,2,8.0
2015-02-25,2,1,6.679999828338623,2,26.0
2015-02-25,2,1,5.699999809265137,2,19.0
2015-02-25,2,1,3.75,1,13.5
2015-02-25,2,1,1.190000057220459,1,6.0
2015-02-25,2,1,0.4300000071525574,1,4.0
2015-02-25,2,4,0.7199999690055847,1,5.0
2015-02-25,2,1,2.0899999141693115,1,9.0
2015-02-25,2,1,1.4700000286102295,1,7.0
2015-02-25,2,2,4.639999866485596,1,16.0
2015-02-25,2,1,0.550000011920929,2,4.5
2015-02-25,2,4,1.8199999332427979,2,9.5
2015-02-25,2,1,0.9399999976158142,2,5.5
2015-02-25,2,1,1.78000009059906,2,8.0
2015-02-25,2,1,1.5199999809265137,1,8.0
2015-02-25,2,1,2.75,1,11.0
2015-02-25,2,2,2.3499999046325684,1,9.0
2015-02-25,2,5,3.259999990463257,2,12.0
2015-02-25,2,1,11.680000305175781,1,33.5
2015-02-25,2,6,10.510000228881836,2,33.5
2015-02-25,2,3,3.2699999809265137,1,12.5
2015-02-25,2,3,1.8299999237060547,1,9.0
2015-02-25,2,1,2.0,2,7.5
2015-02-25,2,1,2.629999876022339,2,11.0
2015-02-25,2,2,1.649999976158142,2,7.5
2015-02-25,2,1,0.46000000834465027,2,4.5
2015-02-25,2,1,10.630000114440918,2,30.0
2015-02-25,2,4,2.2200000286102295,2,11.5
2015-02-25,2,5,2.119999885559082,1,9.5
2015-02-25,2,6,10.789999961853027,1,30.0
2015-02-25,2,3,1.600000023841858,1,7.0
2015-02-25,2,2,7.87000036239624,2,27.0
2015-02-25,2,5,3.5299999713897705,1,12.5
2015-02-25,2,1,6.079999923706055,1,22.0
2015-02-25,2,1,8.600000381469727,1,28.0
2015-02-25,2,1,3.549999952316284,1,14.0
2015-02-25,2,1,3.3499999046325684,1,10.5
2015-02-25,2,1,2.2100000381469727,1,9.0
2015-02-25,2,1,5.840000152587891,1,19.0
2015-02-25,2,5,1.3299999237060547,1,7.0
